Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S96605762,Canada Goose,Branta canadensis,303,X,CA-ON,Toronto,L1437376,Toronto--Downsview Park,43.7437383,-79.4830566,2021-10-23,01:53 PM,eBird - Traveling Count,110,1,3.46,,1
S58371856,Canada Goose,Branta canadensis,303,X,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2019-07-22,09:55 AM,eBird - Traveling Count,120,1,4.828,,1
S58671513,Canada Goose,Branta canadensis,303,X,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2019-08-01,02:00 PM,eBird - Traveling Count,120,1,3.219,,1
S58918066,Canada Goose,Branta canadensis,303,X,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2019-08-11,10:15 AM,eBird - Traveling Count,120,1,4.828,,1
S59882601,Canada Goose,Branta canadensis,303,10,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2019-09-17,09:00 AM,eBird - Traveling Count,210,1,3.219,,1,,,"Started solo in the forested area and ponds in the North East portion of the park, then joined a group of about 6 people observing on Hawk Hill for about two hours before moving south along Colborne Lodge Drive."
S72684766,Canada Goose,Branta canadensis,303,10,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2020-08-22,08:10 AM,eBird - Traveling Count,195,1,5.538,,1
S89981075,Canada Goose,Branta canadensis,303,35,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2021-06-05,08:40 AM,eBird - Traveling Count,297,1,7.32,,1
S94827751,Canada Goose,Branta canadensis,303,X,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2021-09-18,08:05 AM,eBird - Traveling Count,314,1,7.367,,1
S95201442,Canada Goose,Branta canadensis,303,5,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2021-09-26,08:23 AM,eBird - Traveling Count,225,1,7.637,,1
S96941583,Canada Goose,Branta canadensis,303,15,CA-ON,Toronto,L11,Toronto--High Park,43.6446469,-79.4625379,2021-10-31,10:37 AM,eBird - Traveling Count,198,1,4.716,,1
S57327925,Canada Goose,Branta canadensis,303,X,CA-ON,Toronto,L285225,Toronto--Humber Bay Park (West),43.6163997,-79.4777574,2019-06-12,11:00 AM,eBird - Traveling Count,90,1,3.219,,1
S85794270,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L2485803,Toronto--Lester B. Pearson Garden for Peace and International Understanding,43.6663893,-79.3914127,2021-04-18,08:33 AM,eBird - Traveling Count,22,1,.584,,3
S86318758,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L2485803,Toronto--Lester B. Pearson Garden for Peace and International Understanding,43.6663893,-79.3914127,2021-04-25,09:02 AM,eBird - Traveling Count,30,1,.692,,3
S86729372,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L2485803,Toronto--Lester B. Pearson Garden for Peace and International Understanding,43.6663893,-79.3914127,2021-04-30,11:00 AM,eBird - Traveling Count,30,1,1.609,,1
S97882146,Canada Goose,Branta canadensis,303,10,CA-ON,Toronto,L4006873,Toronto--Marilyn Bell Park,43.6308569,-79.4317532,2021-11-21,12:13 PM,eBird - Traveling Count,12,1,.608,,1
S67858781,Canada Goose,Branta canadensis,303,3,CA-ON,Toronto,L5550250,Toronto--Philosopher's Walk,43.6659314,-79.3949533,2020-04-26,03:45 PM,eBird - Traveling Count,30,1,.805,,1
S67642446,Canada Goose,Branta canadensis,303,2,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2020-04-22,03:45 PM,eBird - Traveling Count,90,1,1.609,,1
S67890436,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2020-04-27,09:58 AM,eBird - Traveling Count,59,1,1.46,,1
S68304382,Canada Goose,Branta canadensis,303,2,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2020-05-03,07:56 AM,eBird - Traveling Count,63,1,1.468,,1,F Flyover
S68383821,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2020-05-04,10:04 AM,eBird - Traveling Count,81,1,1.71,,1
S68918686,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2020-05-12,10:17 AM,eBird - Traveling Count,53,1,1.144,,1
S70042952,Canada Goose,Branta canadensis,303,6,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2020-06-04,09:45 AM,eBird - Traveling Count,62,1,1.687,,1,F Flyover
S83194285,Canada Goose,Branta canadensis,303,4,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2021-03-11,11:47 AM,eBird - Traveling Count,53,1,2.881,,1,,Milling around in the southern portion of Queen’s Park
S84138083,Canada Goose,Branta canadensis,303,2,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2021-03-26,02:53 PM,eBird - Traveling Count,35,1,1.66,,1
S85719176,Canada Goose,Branta canadensis,303,3,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2021-04-17,10:17 AM,eBird - Traveling Count,56,1,1.528,,1,F Flyover
